EventID,DateID,MachineID,ProductTypeID,AirTempC,ProcessTempC,RotationalSpeed,Torque,ToolWear,MachineFailure,TWF,HDF,PWF,OSF,RNF
1,20250101,1,1,24.950000000000045,35.450000000000045,1551,42.8,0,0,0,0,0,0,0
2,20250101,2,2,25.05000000000001,35.55000000000001,1408,46.3,3,0,0,0,0,0,0
3,20250101,3,2,24.950000000000045,35.35000000000002,1498,49.4,5,0,0,0,0,0,0
4,20250101,1,2,25.05000000000001,35.450000000000045,1433,39.5,7,0,0,0,0,0,0
5,20250101,2,2,25.05000000000001,35.55000000000001,1408,40.0,9,0,0,0,0,0,0
6,20250101,3,1,24.950000000000045,35.450000000000045,1425,41.9,11,0,0,0,0,0,0
7,20250101,1,2,24.950000000000045,35.450000000000045,1558,42.4,14,0,0,0,0,0,0
8,20250101,2,2,24.950000000000045,35.450000000000045,1527,40.2,16,0,0,0,0,0,0
9,20250101,3,1,25.150000000000038,35.55000000000001,1667,28.6,18,0,0,0,0,0,0
10,20250101,1,1,25.350000000000023,35.85000000000002,1741,28.0,21,0,0,0,0,0,0
11,20250101,2,3,25.25,35.75,1782,23.9,24,0,0,0,0,0,0
12,20250101,3,3,25.450000000000045,35.950000000000045,1423,44.3,29,0,0,0,0,0,0
13,20250101,1,1,25.450000000000045,35.950000000000045,1339,51.1,34,0,0,0,0,0,0
14,20250101,2,1,25.450000000000045,36.05000000000001,1742,30.0,37,0,0,0,0,0,0
15,20250101,3,2,25.450000000000045,36.05000000000001,2035,19.6,40,0,0,0,0,0,0
16,20250101,1,2,25.450000000000045,36.05000000000001,1542,48.4,42,0,0,0,0,0,0
17,20250101,2,1,25.450000000000045,36.05000000000001,1311,46.6,44,0,0,0,0,0,0
18,20250101,3,1,25.55000000000001,36.05000000000001,1410,45.6,47,0,0,0,0,0,0
19,20250101,1,3,25.650000000000038,36.05000000000001,1306,54.5,50,0,0,0,0,0,0
20,20250101,2,1,25.75,36.150000000000034,1632,32.5,55,0,0,0,0,0,0
